query_name,query_complexity,prim_plans,kruskal_plans,distinct_plans,duplicate_plans
1a,5,5,7,3
1b,5,5,7,3
1c,5,5,6,4
1d,5,5,7,3
2a,5,5,8,2
2b,5,5,8,2
2c,5,5,7,3
2d,5,5,8,2
3a,4,4,5,3
3b,4,4,4,4
3c,4,4,5,3
4a,5,5,6,4
4b,5,5,7,3
4c,5,5,7,3
5a,5,5,7,3
5b,5,5,7,3
5c,5,5,7,3
6a,5,5,5,5
6b,5,5,5,5
6c,5,5,5,5
6d,5,5,5,5
6e,5,5,5,5
6f,5,5,8,2
8a,8,8,14,2
8b,8,8,14,2
8c,8,8,16,0
8d,8,8,16,0
9a,9,9,17,1
9b,9,9,17,1
9c,9,9,12,6
9d,9,9,16,2
10a,7,7,11,3
10b,7,7,10,4
10c,7,7,13,1
17a,9,9,16,2
17b,9,9,16,2
17c,9,9,16,2
17d,9,9,16,2
17e,9,9,16,2
17f,9,9,16,2
18a,9,9,11,7
18b,9,9,17,1
18c,9,9,12,6
32a,5,5,8,2
32b,5,5,8,2
7a,11,11,20,2
7b,11,11,19,3
7c,11,11,20,2
11a,10,10,19,1
11b,10,10,20,0
11c,10,10,17,3
11d,10,10,17,3
12a,10,10,20,0
12b,10,10,10,10
12c,10,10,17,3
13a,11,11,13,9
13b,11,11,18,4
13c,11,11,18,4
13d,11,11,16,6
14a,10,10,18,2
14b,10,10,19,1
14c,10,10,18,2
15a,14,14,28,0
15b,14,14,28,0
15c,14,14,26,2
15d,14,14,25,3
16a,11,11,20,2
16b,11,11,20,2
16c,11,11,20,2
16d,11,11,20,2
19a,13,13,26,0
19b,13,13,26,0
19c,13,13,24,2
19d,13,13,23,3
20a,12,12,22,2
20b,12,12,22,2
20c,12,12,22,2
21a,14,14,28,0
21b,14,14,28,0
21c,14,14,27,1
22a,16,16,30,2
22b,16,16,30,2
22c,16,16,32,0
22d,16,16,32,0
23a,16,16,31,1
23b,16,16,31,1
23c,16,16,31,1
24a,18,18,34,2
24b,18,18,36,0
25a,14,14,25,3
25b,14,14,28,0
25c,14,14,22,6
26a,17,17,34,0
26b,17,17,34,0
26c,17,17,32,2
33a,19,19,38,0
33b,19,19,38,0
33c,19,19,37,1
27a,21,21,42,0
27b,21,21,41,1
27c,21,21,42,0
28a,23,23,46,0
28b,23,23,46,0
28c,23,23,46,0
29a,28,28,56,0
29b,28,28,56,0
29c,28,28,56,0
30a,21,21,40,2
30b,21,21,42,0
30c,21,21,42,0
31a,20,20,34,6
31b,20,20,40,0
31c,20,20,33,7
